File_ID,Model,Category,Score (4080),Score (5080)
File_76,Llama2 7B,Precision,75.9 ,98.3 
File_77,Llama3 8B,Precision,83.7 ,98.2 
File_78,Llama3 8B,Recall,99.1 ,97.6 
File_79,Llama3.1 8B,Recall,77.3 ,98.3 
File_80,Llama3 8B,Precision,94.8 ,96.4 
File_81,LLaVA Llama3 8B,Precision,80.8 ,97.2 
File_82,LLaVA Llama3 8B,Precision,97.3 ,98.5 
File_83,LLaVA Llama3 8B,Precision,97.5 ,98.0 
File_84,Llama3 8B,Recall,93.1 ,99.5 
File_85,Llama3.1 8B,Recall,86.9 ,95.1 
File_86,Llama3.1 8B,Recall,74.5 ,96.0 
File_87,Llama3 8B,Recall,72.2 ,96.5 
File_88,Llama2 7B,F1-Score,79.4 ,99.5 
File_89,Llama2 13B,Recall,99.9 ,97.1 
File_90,Llama3.1 8B,F1-Score,72.0 ,97.3 
File_91,Llama3 8B,F1-Score,90.2 ,99.5 
File_92,LLaVA Llama3 8B,Precision,87.5 ,96.2 
File_93,Llama3.1 8B,Precision,93.1 ,96.7 
File_94,LLaVA Llama3 8B,Recall,74.1 ,95.9 
File_95,LLaVA Llama3 8B,F1-Score,90.1 ,97.5 
File_96,Llama3 8B,Recall,83.6 ,98.7 
File_97,Llama3 8B,Precision,74.2 ,98.3 
File_98,Llama3 8B,Recall,87.0 ,97.1 
File_99,Llama2 13B,Recall,78.4 ,95.1 
File_100,LLaVA Llama3 8B,Recall,72.2 ,95.4 
